
Name                                        Length LastWriteTime
Test_Meeting_20260418_180352-transcript.txt    229 18.04.2026 18:03:52
Test_Meeting_20260418_180352-protocol.docx   36754 18.04.2026 18:03:52
Test_Meeting_20260418_180352-protocol.md       195 18.04.2026 18:03:52
Demoanalyse_20260418_175240-transcript.txt     281 18.04.2026 17:52:40
Demoanalyse_20260418_175240-protocol.pdf      1666 18.04.2026 17:52:40
Demoanalyse_20260418_175240-protocol.docx    36782 18.04.2026 17:52:40
Demoanalyse_20260418_175240-protocol.md        250 18.04.2026 17:52:40
Test_Meeting_20260418_150041-transcript.txt    229 18.04.2026 15:00:42
Test_Meeting_20260418_150041-protocol.pdf     1624 18.04.2026 15:00:42
Test_Meeting_20260418_150041-protocol.docx   36754 18.04.2026 15:00:41
Test_Meeting_20260418_150041-protocol.md       195 18.04.2026 15:00:41
Test_Meeting_20260418_144542-transcript.txt    229 18.04.2026 14:45:42
Test_Meeting_20260418_144542-protocol.pdf     1625 18.04.2026 14:45:42
Test_Meeting_20260418_144542-protocol.docx   36755 18.04.2026 14:45:42
Test_Meeting_20260418_144542-protocol.md       195 18.04.2026 14:45:42
Test_Meeting_20260418_144413-protocol.pdf     1624 18.04.2026 14:44:13
Test_Meeting_20260418_144413-transcript.txt    229 18.04.2026 14:44:13
Test_Meeting_20260418_144413-protocol.docx   36755 18.04.2026 14:44:13
Test_Meeting_20260418_144413-protocol.md       195 18.04.2026 14:44:13
Test_Meeting_20260418_144020-transcript.txt    229 18.04.2026 14:40:20
Test_Meeting_20260418_144020-protocol.pdf     1624 18.04.2026 14:40:20
Test_Meeting_20260418_144020-protocol.docx   36754 18.04.2026 14:40:20
Test_Meeting_20260418_144020-protocol.md       195 18.04.2026 14:40:20
My_Meeting_20260418_143817-transcript.txt      319 18.04.2026 14:38:17
My_Meeting_20260418_143817-protocol.pdf       1624 18.04.2026 14:38:17
My_Meeting_20260418_143817-protocol.docx     36754 18.04.2026 14:38:17
My_Meeting_20260418_143817-protocol.md         193 18.04.2026 14:38:17
My_Meeting_20260418_143649-protocol.pdf       1624 18.04.2026 14:36:49
My_Meeting_20260418_143649-transcript.txt      317 18.04.2026 14:36:49
My_Meeting_20260418_143649-protocol.docx     36753 18.04.2026 14:36:49
My_Meeting_20260418_143649-protocol.md         193 18.04.2026 14:36:49
My_Meeting_20260418_110824-transcript.txt      273 18.04.2026 11:08:25
My_Meeting_20260418_110824-protocol.pdf       1624 18.04.2026 11:08:25
My_Meeting_20260418_110824-protocol.docx     36753 18.04.2026 11:08:25
My_Meeting_20260418_110824-protocol.md         193 18.04.2026 11:08:24
My_Meeting_20260417_131606-transcript.txt      273 17.04.2026 13:16:06
My_Meeting_20260417_131606-protocol.pdf       1624 17.04.2026 13:16:06
My_Meeting_20260417_131606-protocol.docx     36754 17.04.2026 13:16:06
My_Meeting_20260417_131606-protocol.md         193 17.04.2026 13:16:06
Test_Meeting_20260417_131604-transcript.txt    229 17.04.2026 13:16:05
Test_Meeting_20260417_131604-protocol.pdf     1624 17.04.2026 13:16:05
Test_Meeting_20260417_131604-protocol.docx   36755 17.04.2026 13:16:05
Test_Meeting_20260417_131604-protocol.md       195 17.04.2026 13:16:04
protocol_20260417_101851.md                   1136 17.04.2026 10:18:51
Test2_20260417_101835-protocol.pdf            2322 17.04.2026 10:18:35
Test2_20260417_101835-transcript.txt          2642 17.04.2026 10:18:35
Test2_20260417_101835-protocol.docx          37093 17.04.2026 10:18:35
Test2_20260417_101835-protocol.md             1142 17.04.2026 10:18:35
protocol_20260417_090622.md                    168 17.04.2026 09:06:22
Test_20260417_090558-protocol.pdf             1777 17.04.2026 09:05:58
Test_20260417_090558-transcript.txt           1786 17.04.2026 09:05:58
Test_20260417_090558-protocol.docx           36732 17.04.2026 09:05:58
Test_20260417_090558-protocol.md               173 17.04.2026 09:05:58
protocol_20260416_210939.md                   2200 16.04.2026 21:09:39
test_20260416_210936-transcript.txt           2137 16.04.2026 21:09:36
test_20260416_210936-protocol.pdf             2932 16.04.2026 21:09:36
test_20260416_210936-protocol.docx           37521 16.04.2026 21:09:36
test_20260416_210936-protocol.md              2199 16.04.2026 21:09:36


